split,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
train,0.5002644628099173,0.5193188060794727,0.5401904761904762,0.5295490617122585,0.49673783908045976,6625,7875,7242,8508
valid,0.9523809523809523,0.948645598194131,0.9660919540229885,0.9572892938496583,0.9891006358522867,2638,182,118,3362
test,0.9606349206349206,0.9609241300627496,0.968103448275862,0.9645004294302891,0.9920512350207875,2683,137,111,3369
